Sample,Slice#,Frac_511,Frac_535
527(2),21,0.034527624910908106,0.9654723750890919
527(2),22,0.08392119990090678,0.9160788000990931
527(2),23,0.9653014533343028,0.03469854666569714
527(2),24,0.4556635086892628,0.5443364913107372
529(2),1,0.03184988413596924,0.9681501158640308
529(2),2,0.019606450645359978,0.9803935493546401
529(2),3,0.00763352141234818,0.9923664785876518
529(2),4,0.015946512955093785,0.9840534870449062
529(2),5,0.5068334763680249,0.49316652363197505
529(2),6,0.9585209374948864,0.04147906250511365
529(2),7,0.0,1.0
529(2),8,0.1366162589012827,0.8633837410987173
529(2),9,0.18354976850437638,0.8164502314956236
529(2),10,0.4386239988607009,0.5613760011392992
529(2),11,0.9786668388268971,0.021333161173103025
529(2),12,0.9742562261554901,0.025743773844509883
529(2),13,0.01629980317861295,0.9837001968213871
529(2),14,0.014608766788754637,0.9853912332112453
529(2),15,0.027610878518374685,0.9723891214816254
529(2),16,0.0,1.0
529(2),17,0.019420196543288866,0.980579803456711
529(2),18,0.0,1.0
529(2),19,0.02171710111406966,0.9782828988859303
529(2),20,0.0,1.0
529(2),21,0.01603045918700861,0.9839695408129914
529(2),22,0.0,1.0
529(2),23,0.9515597673047324,0.04844023269526766
529(2),24,0.0003650134432128032,0.9996349865567872
530(2),1,0.9193221681835313,0.08067783181646866
530(2),2,0.932962606808479,0.06703739319152102
530(2),3,0.8978650330379253,0.10213496696207475
530(2),4,0.9026581954425131,0.09734180455748688
530(2),5,0.9358373998946248,0.0641626001053753
530(2),6,0.9484379489874599,0.0515620510125401
530(2),7,0.941613249009323,0.05838675099067705
530(2),8,0.9312158860837271,0.06878411391627286
530(2),9,0.9495905397643621,0.0504094602356379
530(2),10,0.9432550660572411,0.05674493394275899
530(2),11,0.960570648961951,0.039429351038049
530(2),12,0.9384363635797183,0.061563636420281696
530(2),13,0.9535322959515545,0.04646770404844544
530(2),14,0.9210664945333095,0.07893350546669053
530(2),15,0.9031243181130328,0.0968756818869671
530(2),16,0.9196319319631177,0.08036806803688237
530(2),17,0.9367062311988529,0.06329376880114705
530(2),18,0.9415983609949525,0.05840163900504734
530(2),19,0.8436197696217156,0.15638023037828438
530(2),20,0.8974490117301855,0.10255098826981443
530(2),21,0.9531316323618771,0.046868367638122875
